iter	Logloss
0	0.6285451688
1	0.5654943743
2	0.5131573365
3	0.4686004986
4	0.4227780943
5	0.3786517195
6	0.345910988
7	0.3104035032
8	0.2812697147
9	0.2512181817
10	0.2289755188
11	0.2095761204
12	0.1917696787
13	0.1754593917
14	0.1619629602
15	0.1468018535
16	0.1349014108
17	0.1241731236
18	0.1123039267
19	0.1030554051
20	0.09536814893
21	0.08798461219
22	0.08093732307
23	0.0739277788
24	0.06836284735
25	0.0630211246
26	0.05823222864
27	0.05423433896
28	0.04999048825
29	0.04642694153
30	0.04339505329
31	0.04029684257
32	0.03737675702
33	0.03452578705
34	0.03192901611
35	0.02971507341
36	0.02781444941
37	0.02599376016
38	0.0241267457
39	0.02252301056
40	0.02094138382
41	0.01963750861
42	0.01825120442
43	0.01716238957
44	0.01603728754
45	0.01489204423
46	0.01384729673
47	0.01297529606
48	0.01222574609
49	0.0115575247
50	0.01079880342
51	0.01026528377
52	0.009613388964
53	0.009106287589
54	0.008604734372
55	0.008136516283
56	0.007755907173
57	0.007354891198
58	0.006995213337
59	0.006608863841
60	0.006286570829
61	0.005950718524
62	0.005687733321
63	0.005389767834
64	0.0051214858
65	0.004880493183
66	0.004655510272
67	0.004497619096
68	0.004347636149
69	0.004154618989
70	0.004001607922
71	0.0038619449
72	0.003744115857
73	0.003636879799
74	0.003534307507
75	0.003420814829
76	0.003319483877
77	0.003216054025
78	0.003115908712
79	0.003003792545
80	0.002922154899
81	0.002843578487
82	0.002751104003
83	0.002668456135
84	0.002581911549
85	0.002496623585
86	0.00241612505
87	0.002407947667
88	0.002329905488
89	0.002265857326
90	0.002213413899
91	0.002151249141
92	0.00208719928
93	0.002041538556
94	0.001984893766
95	0.001981332092
96	0.001927453059
97	0.00192194328
98	0.001918202961
99	0.001914237469
100	0.001909700214
101	0.001903632767
102	0.001898873396
103	0.001852397905
104	0.001811979503
105	0.001808446866
106	0.001766589292
107	0.001720259162
108	0.001717186551
109	0.001714166753
110	0.001710255601
111	0.001706238146
112	0.001667295766
113	0.001664295156
114	0.001661807384
115	0.001619375329
116	0.001583803753
117	0.001580570158
118	0.001551500752
119	0.001519033712
120	0.001492165093
121	0.001489487639
122	0.001487131132
123	0.001464996922
124	0.001462440545
125	0.001439481719
126	0.001436947418
127	0.001417634579
128	0.001415529142
129	0.001390700496
130	0.001369941438
131	0.001342190467
132	0.001339932368
133	0.001315099986
134	0.001312249406
135	0.001310352501
136	0.001308176592
137	0.001306408066
138	0.001276447987
139	0.001273897469
140	0.001271586642
141	0.001247656311
142	0.001222653267
143	0.001197491701
144	0.001195427444
145	0.001176469686
146	0.001151569379
147	0.001149874722
148	0.001147895966
149	0.001125590839
150	0.001107756908
151	0.001088182641
152	0.001066554985
153	0.001065052642
154	0.001051577238
155	0.001031682108
156	0.001017280623
157	0.001015779809
158	0.001013976726
159	0.0009995400906
160	0.0009977819234
161	0.0009821446193
162	0.0009681709811
163	0.0009563579688
164	0.0009547646059
